barcode,price,active,quantity
106431,332.51,0,1
106381,319.05,0,0
106006,180.62,1,6
107619,103.53,0,-1
107804,164.2,0,0
105808,618.08,0,0
109264,10,1,60
116894,11.07142857,1,14
116893,13,0,0
4902720151306,2850,0,2
4902720151337,6115,0,1
726529872484,2550,0,1
726529872491,3650,0,3
796554565026,1575,0,-1
4902720148870,2825,0,3
796554565033,3049,0,3
796554565040,4450.96,0,0
4902720148894,5979.35,1,5
710535717907,1295,0,2
710535717914,2480,0,0
745114675040,3730,0,3
4902720148917,2850,1,4
4902720148931,6150,0,3
710535717921,1325,0,1
710535717938,2550,0,1
745114675057,3750,0,1
104516,1270,0,0
745178398787,1030,0,1
726529872477,1250,0,1
726529872460,850,0,0
4902720125291,3000,1,4
119044,200,0,2
BFL,119,0,2
NEO BFL,119,0,1
8964000279304,50,0,3
110413,40.5,0,0
112905,83,0,0
106250,375,0,1
116768,16,1,140
116769,16,1,110
116770,18,0,-12
186007102147,70,1,24
1860074054618,200,0,-6
1860074054595,70,0,1
1860074070083,110,1,4
1860074054502,200,1,7
1860074051716,100,1,5
1860074051754,110,0,-12
1860074054663,110,0,-3
1860074054601,100,0,-24
1860164053798,70,0,-4
6009689191843,160,1,4
6009689191089,300,0,2
6009689191072,475,0,2
6009689191003,700,0,2
6009689191652,150,0,2
6009689191621,180,1,6
6009689191027,340,0,1
6009689191010,500,0,2
117852,76.63333333,0,0
112925,94,1,10
113024,750,1,4
8680512633235,2250,0,0
115258,6929,0,-1
8680512631644,3800,0,0
8697432091755,4950,0,0
107270,5500,0,1
111074,1.3412,1,100
109893,2,1,201
8961102503122,20,0,-5
8961102505287,50,0,0
8961103503176,30,0,-79
8961103503787,50,0,0
8961103503398,40,0,1
792649750759,30,0,0
116716,850,0,0
111360,14.485,0,0
114064,380,0,0
792649750148,30,0,-1
116714,290,0,0
792649750117,180,0,0
792649750094,250,0,0
792649750162,30,0,-10
118689,250,0,0
8961003664342,20,0,2
8961003024016,40,0,-13
8965310052045,50,0,0
102440,230,0,2
117587,2170,0,-1
744343547173,40,0,0
894545000812,140,0,0
105500,116,0,0
108841,211,0,0
105511,145,0,-2
8961103502629,100,1,7
8964001199298,260,0,2
8964001199311,240,0,1
8961102110665,1280,1,7
8961102110580,200,1,12
8961102110290,380,0,-20
8961102110368,35,0,0
8961102110528,380,1,32
8961102110306,540,1,5
8961102110009,40,0,0
8961102110375,70,0,0
8961102110313,980,1,6
8961102110023,100,1,18
8961102110283,200,1,6
119077,950,0,0
119535,90,1,6
119534,90,1,5
109143,180,0,-1
6411127830069,750,0,1
8964002992645,350,0,0
6291101526566,650,0,2
108402,225,0,-1
116674,650,0,0
SUPARI,10,0,0
8964001048336,1350,0,0
8964001048329,1350,0,0
8964001048312,1350,0,0
8964001048305,1350,0,1
105032,1250,0,0
105030,1250,0,0
105031,1250,0,0
105029,1250,0,0
105028,1245,0,0
105033,990,0,0
8964002894987,2199,0,0
8964002894734,2240,0,0
105244,2399,0,0
105246,2399,0,0
105245,2399,0,0
105315,2395,0,0
8964001050032,1175,0,0
8964001050025,1065,0,0
8964001050001,785,0,0
8964001050018,825,0,0
8964001050049,1285,0,0
8964001050346,1450,0,0
8964002895137,1175,0,0
8964002895120,1050,0,1
8964002895106,785,0,0
8964002895113,825,0,0
8964002895151,1450,0,0
8964001049463,150,0,0
8964001050957,220,0,2
5904277113966,1590,0,0
5904277114444,2260,0,0
5904277118640,890,0,0
5904277118626,1170,0,0
8961005623316,175,0,0
113029,26.33333333,0,0
117888,43,0,0
108536,398,0,0
8901138500573,760,0,1
8886950014845,300,1,10
8886950013848,230,1,5
8886950013596,335,0,0
8886950014289,50,0,0
8886950014050,630,0,0
8886950016016,440,1,7
8886950013794,50,1,19
8886950013343,680,0,0
8886950013831,10,0,0
8886950013787,99,1,9
8886950014319,150,0,2
8886950014203,225,1,4
8886950013923,440,0,1
8886950013152,20,1,6
8964000031858,100,0,0
114052,132.8571429,1,28
119081,150,0,3
4011100977624,300,1,54
100908,1199,0,0
6925457803421,4500,0,0
745314794916,150,0,-7
101460,110,0,1
8651158138941,50,0,-5
119583,57.5,1,10
119584,280.56,0,1
8964004035678,380,0,1
8964004035715,380,0,0
8964004035708,380,0,2
8964004035692,380,0,2
8964002993017,160,0,1
8964002993055,160,0,2
8964002994878,350,1,15
8964002994700,380,0,0
8964002994717,380,0,0
8964002993048,150,0,2
8964002994557,150,0,0
8964002993086,160,1,4
8964002993116,160,0,2
8964002993123,160,0,1
8964002994540,190,0,0
8964002994533,160,0,0
8964002993147,160,0,1
8964002993185,160,0,1
8964002993222,160,0,3
8964002994564,190,0,1
8964002993239,190,0,3
8964002993246,160,1,5
8964002993253,160,1,6
8964002993277,150,0,2
8964002994632,380,0,2
8964002994687,380,0,0
8964002994649,380,0,0
8964002994656,380,0,0
8964002994663,370,0,-1
8964002994670,380,0,0
8964002994694,380,0,0
8964002994724,370,0,0
8964002993093,160,1,4
8964002993635,370,0,-2
8964002993178,190,0,3
8964002993109,160,1,8
671866128988,20,0,-1
108570,19.954,0,-16
112365,53.75,1,45
